Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Šilainiai, Tolminkiemio g.",Šilainiai, Tolminkiemio g.,79 744 ,"
                            3 rooms, 48,33 m², 3/3 floor, 2021 year, brick, gas, partial decoration                        ", 48.33 ,3, 2021 , 3/3 ,/butai-kaune-silainiuose-tolminkiemio-g-naujas-daugiabucio-projektas-kauno-m-1-3034029/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,82 000 ,"
                            3 rooms, 51,25 m², 3/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 51.25 ,3, 2021 , 3/4 ,/butai-kaune-dainavoje-v-kreves-pr-naujas-23-k-butas-su-kampiniu-balkonu-1-3031499/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,77 000 ,"
                            2 rooms, 47,78 m², 2/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 47.78 ,2, 2021 , 2/4 ,/butai-kaune-dainavoje-v-kreves-pr-naujas-dvieju-kambariu-butas-su-balkonu-1-3033881/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Eiguliai, Šiaurės pr.",Eiguliai, Šiaurės pr.,53 000 ,"
                            2 rooms, 57,56 m², 6/12 floor, 1987 year, monolithic, central, not equipped                        ", 57.56 ,2, 1987 , 6/12 ,/butai-kaune-eiguliuose-siaures-pr-1-3037693/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Freda, Bitininkų g.",Freda, Bitininkų g.,105 000 ,"
                            2 rooms, 39,51 m², 1/3 floor, 2014 year, brick, gas, fully equipped                        ", 39.51 ,2, 2014 , 1/3 ,/butai-kaune-fredoje-bitininku-g-pilnai-irengtas-butas-su-lauko-terasa-1-3034627/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Kalniečiai, Savanorių pr.",Kalniečiai, Savanorių pr.,80 000 ,"
                            4 rooms, 68,8 m², 3/12 floor, 1985 year, block house, central, fully equipped                        ", 68.8 ,4, 1985 , 3/12 ,/butai-kaune-kalnieciuose-savanoriu-pr-puiki-vieta-susikurti-savo-seimos-lizda-nes-1-3032289/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Žuvinto g.",Žaliakalnis, Žuvinto g.,117 800 ,"
                            2 rooms, 46 m², 6/6 floor, 2008 year, brick, central thermostat, fully equipped                        ", 46 ,2, 2008 , 6/6 ,/butai-kaune-zaliakalnyje-zuvinto-g-parduodamas-dvieju-kambariu-butas-kaune-1-3031287/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,29 000 ,"
                            1 rooms, 19,85 m², 2/5 floor, 1970 year, brick, central, fully equipped                        ", 19.85 ,1, 1970 , 2/5 ,/butai-kaune-dainavoje-v-kreves-pr-parduodamas-jaukus-1-k-butas-bendrabucio-1-3034663/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Freda, T. Ivanausko g.",Freda, T. Ivanausko g.,280 000 ,"
                            5 rooms, 140 m², 3/4 floor, 2020 year, brick, gas, fully equipped                        ", 140 ,5, 2020 , 3/4 ,/butai-kaune-fredoje-t-ivanausko-g-butai-parduodami-be-tarpininku-parduodu-3-1-2968035/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aleksotas, Šeštokų g.",Aleksotas, Šeštokų g.,133 000 ,"
                            3 rooms, 54 m², 1/3 floor, 2019 year, brick, central, geothermal, fully equipped                        ", 54 ,3, 2019 , 1/3 ,/butai-kaune-aleksote-sestoku-g-parduodamas-pilnai-irengtas-butas-ramioje-ir-1-3020887/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aukštieji Šančiai, A. Juozapavičiaus pr.",Aukštieji Šančiai, A. Juozapavičiaus pr.,94 000 ,"
                            2 rooms, 63 m², 1/2 floor, 1910 year, brick, gas, partial decoration                        ", 63 ,2, 1910 , 1/2 ,/butai-kaune-aukstuosiuose-sanciuose-a-juozapaviciaus-pr-isskirtines-architekturos-garsiuju-buvusiu-1-3036989/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Šilainiai, Alytaus g.",Šilainiai, Alytaus g.,83 900 ,"
                            4 rooms, 80,25 m², 2/2 floor, 2021 year, brick, gas, partial decoration                        ", 80.25 ,4, 2021 , 2/2 ,/butai-kaune-silainiuose-alytaus-g-silainiu-miestelis-naujas-projektas-1-3009965/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aleksotas, Svirbygalos g.",Aleksotas, Svirbygalos g.,88 000 ,"
                            2 rooms, 36,7 m², 1/2 floor, 2020 year, brick, gas, fully equipped                        ", 36.7 ,2, 2020 , 1/2 ,/butai-kaune-aleksote-svirbygalos-g-pilnai-irengtas-pirmame-aukste-su-zeme-ir-1-3036535/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
