Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Žaliakalnis, Alantos g.",Žaliakalnis, Alantos g.,100 ,"
                            1 rooms, 20 m², 2/2 floor, 1987 year, gas, brick                        ", 20 ,1, 1987 , 2/2 ,/butu-nuoma-kaune-zaliakalnyje-alantos-g-nuomojamas-tiik-merginaikadangi-bute-jau-4-1080007/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, Chemijos g.",Dainava, Chemijos g.,240 ,"
                            1 rooms, 22 m², 2/5 floor, 1965 year, central, brick                        ", 22 ,1, 1965 , 2/5 ,/butu-nuoma-kaune-dainavoje-chemijos-g-isnuomojamas-naujai-suremontuotas-vieno-4-1017923/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Gražinos g.",Žaliakalnis, Gražinos g.,350 ,"
                            3 rooms, 66,5 m², 3/5 floor, 1980 year, central, brick                        ", 66.5 ,3, 1980 , 3/5 ,/butu-nuoma-kaune-zaliakalnyje-grazinos-g-isnuomojamas-3-kambariu-butas-kaune-4-1079977/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Šilainiai, Vėtrungės g.",Šilainiai, Vėtrungės g.,300 ,"
                            2 rooms, 38 m², 3/5 floor, 1986 year, central, block house                        ", 38 ,2, 1986 , 3/5 ,/butu-nuoma-kaune-silainiuose-vetrunges-g-nuomojamas-tvarkingas-butas-silainiuose-4-1079975/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, Gričiupio g.",Dainava, Gričiupio g.,340 ,"
                            1 rooms, 36 m², 3/5 floor, 1978 year, central, gas, brick                        ", 36 ,1, 1978 , 3/5 ,/butu-nuoma-kaune-dainavoje-griciupio-g-moderniai-bei-stilingai-irengtas-36m2-2-ju-4-1063275/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Aušros g.",Centras, Aušros g.,530 ,"
                            3 rooms, 80 m², 3/5 floor, 1965 year, central, brick                        ", 80 ,3, 1965 , 3/5 ,/butu-nuoma-kaune-centre-ausros-g-3-kmb-buto-nuoma-kauno-centre-su-miesto-4-1079955/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, Kovo 11-osios g.",Dainava, Kovo 11-osios g.,200 ,"
                            3 rooms, 54 m², 4/5 floor, 1978 year, central, block house                        ", 54 ,3, 1978 , 4/5 ,/butu-nuoma-kaune-dainavoje-kovo-11-osios-g-nuomojamas-butas-4-1079951/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Eiguliai, Sukilėlių pr.",Eiguliai, Sukilėlių pr.,300 ,"
                            2 rooms, 49,55 m², 1/5 floor, 1981 year, central, block house                        ", 49.55 ,2, 1981 , 1/5 ,/butu-nuoma-kaune-eiguliuose-sukileliu-pr-nuomojamas-tvarkingas-dvieju-kambariu-butas-4-1079943/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Kalniečiai, Muravos g.",Kalniečiai, Muravos g.,400 ,"
                            1 rooms, 34 m², 2/2 floor, 2018 year, gas, brick                        ", 34 ,1, 2018 , 2/2 ,/butu-nuoma-kaune-kalnieciuose-muravos-g-jaukus-sviesus-ir-siltas-naujai-irengtas-4-1079929/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Aleksotas, T. Ivanausko g.",Aleksotas, T. Ivanausko g.,600 ,"
                            4 rooms, 150 m², 1/3 floor, 1994 year, gas, brick                        ", 150 ,4, 1994 , 1/3 ,/butu-nuoma-kaune-aleksote-t-ivanausko-g-butas-atsilaisvina-nuo-liepos-1-dienos-butas-4-1079885/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
