Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Šilainiai, Kuršių g.", Šilainiai, Kuršių g.,"73,999 ", 83.3,4,1987,2/9,https://www.capital.lt/lt/4-kambariu-butas-silainiuose-p231137
"Kauno m. sav., Kauno m., Petrašiūnai, R. Kalantos g.", Petrašiūnai, R. Kalantos g.,"18,000 ", 15.49,1,1968,2/4,https://www.capital.lt/lt/parduodamas-butas-r-kalantos-g-137-petrasiunuose-kaune-1549-kvm-ploto-1-kambariai-p231100
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"55,900 ", 44.56,2,1972,1/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-148-dainavoje-kaune-4456-kvm-ploto-2-kambariai-p231087
"Kauno m. sav., Kauno m., Senamiestis, I. Kanto g.", Senamiestis, I. Kanto g.,"45,000 ", 26.0,2,,2/2,https://www.capital.lt/lt/parduodamas-butas-i-kanto-g-13-senamiestyje-kaune-2600-kvm-ploto-2-kambariai-p231041
"Kauno m. sav., Kauno m., Šilainiai, Baltų pr.", Šilainiai, Baltų pr.,"139,999 ", 70.63,4,2014,3/9,https://www.capital.lt/lt/parduodamas-butas-baltu-pr-193a-silainiuose-kaune-7063-kvm-ploto-4-kambariai-p231018
"Kauno m. sav., Kauno m., Aukštutiniai Kaniūkai, Girios g.", Aukštutiniai Kaniūkai, Girios g.,"187,000 ", 89.6,3,2008,2/4,https://www.capital.lt/lt/parduodamas-butas-girios-g-4-kaune-8960-kvm-ploto-3-kambariai-p231014
"Kauno m. sav., Kauno m., Dainava, Kovo 11-osios g.", Dainava, Kovo 11-osios g.,"51,800 ", 43.93,2,1965,4/5,https://www.capital.lt/lt/parduodamas-2-k-butas-kovo-11-osios-g-33-dainavoje-p231001
"Kauno m. sav., Kauno m., Žaliakalnis, P. Višinskio g.", Žaliakalnis, P. Višinskio g.,"68,500 ", 74.56,3,1932,1/2,https://www.capital.lt/lt/parduodamas-49-54-kvm-butas-su-ukiniu-25-kvm-muriniu-pastatu-zaliakalnyje-pvisinskio-g-p230989
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"59,900 ", 52.16,2,1975,3/9,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-115a-dainavoje-kaune-5216-kvm-ploto-2-kambariai-p230975
"Kauno m. sav., Kauno m., Centras, A. Juozapavičiaus pr.", Centras, A. Juozapavičiaus pr.,"182,622 ", 83.01,4,2021,3/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-centre-kaune-8301-kvm-ploto-4-kambariai-p230913
"Kauno m. sav., Kauno m., Centras, A. Juozapavičiaus pr.", Centras, A. Juozapavičiaus pr.,"99,280 ", 44.32,2,2021,4/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-centre-kaune-4432-kvm-ploto-2-kambariai-p230911
"Kauno m. sav., Kauno m., Dainava, Krėvės pr.", Dainava, Krėvės pr.,"56,500 ", 44.8,2,1979,4/5,https://www.capital.lt/lt/parduodamas-butas-kreves-pr-98-416-dainavoje-kaune-4480-kvm-ploto-2-kambariai-p230763
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"50,500 ", 45.24,2,1988,1/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-36-dainavoje-kaune-4524-kvm-ploto-2-kambariai-p230762
"Kauno m. sav., Kauno m., Centras, A. Juozapavičiaus pr.", Centras, A. Juozapavičiaus pr.,"101,714 ", 44.32,2,2021,4/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-centre-kaune-4432-kvm-ploto-2-kambariai-p230761
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"64,800 ", 49.0,2,1975,3/9,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-15-dainavoje-kaune-4900-kvm-ploto-2-kambariai-p230722
"Kauno m. sav., Kauno m., Romainiai, Audenio g.", Romainiai, Audenio g.,"159,000 ", 94.67,3,2014,1/2,https://www.capital.lt/lt/parduodamas-butas-audenio-g-3-romainiuose-kaune-9467-kvm-ploto-3-kambariai-p230698
"Kauno m. sav., Kauno m., Senamiestis, Šv. Gertrūdos g.", Senamiestis, Šv. Gertrūdos g.,"220,000 ", 55.0,2,2018,4/4,https://www.capital.lt/lt/parduodamas-butas-sv-gertrudos-g-51a-senamiestyje-kaune-5500-kvm-ploto-2-kambariai-p230628
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Ašmenos 2-oji g.", Aukštieji Šančiai, Ašmenos 2-oji g.,"69,900 ", 61.22,3,1974,4/5,https://www.capital.lt/lt/parduodamas-butas-asmenos-2-oji-g-25-aukstuosiuose-sanciuose-kaune-6122-kvm-ploto-3-kambariai-p230624
"Kauno m. sav., Kauno m., Kalniečiai, Geležinio Vilko g.", Kalniečiai, Geležinio Vilko g.,"63,500 ", 49.24,2,1978,3/5,https://www.capital.lt/lt/parduodamas-butas-gelezinio-vilko-g-24-kalnieciuose-kaune-4924-kvm-ploto-2-kambariai-p230605
"Kauno m. sav., Kauno m., Šilainiai, Baltijos g.", Šilainiai, Baltijos g.,"47,500 ", 37.21,1,1990,5/5,https://www.capital.lt/lt/parduodamas-kapitaliai-sutvarkytas-1-kambario-butas-p230566
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"150,085 ", 61.01,2,2021,10/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-kaune-6101-kvm-ploto-2-kambariai-p230522
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"182,930 ", 83.15,4,2021,4/16,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-139a-kaune-8315-kvm-ploto-4-kambariai-p230502
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,"137,000 ", 60.28,2,2018,3/7,https://www.capital.lt/lt/parduodamas-butas-varniu-g-vilijampoleje-kaune-6028-kvm-ploto-2-kambariai-p230498
"Kauno m. sav., Kauno m., Šilainiai, Rietavo g.", Šilainiai, Rietavo g.,"44,999 ", 37.08,1,1987,4/5,https://www.capital.lt/lt/parduodamas-butas-rietavo-g-13-silainiuose-kaune-3708-kvm-ploto-1-kambariai-p230423
"Kauno m. sav., Kauno m., Panemunė, Pušų g.", Panemunė, Pušų g.,"32,000 ", 33.73,1,1930,2/3,https://www.capital.lt/lt/parduodamas-butas-pusu-g-7-panemuneje-kaune-3373-kvm-ploto-1-kambariai-p230394
"Kauno m. sav., Kauno m., Freda, Lakūnų pl.", Freda, Lakūnų pl.,"99,999 ", 52.99,2,2019,1/2,https://www.capital.lt/lt/parduodamas-butas-lakunu-pl-44-fredoje-kaune-5299-kvm-ploto-2-kambariai-p230363
"Kauno m. sav., Kauno m., Dainava, Pramonės pr.", Dainava, Pramonės pr.,"66,900 ", 63.91,3,1972,4/9,https://www.capital.lt/lt/parduodamas-butas-pramones-pr-45-dainavoje-kaune-6391-kvm-ploto-3-kambariai-p230313
